timepoint,genotype,count,fitness
12,00011011,1,1.7100000000000002
12,00110100,1,1.3
12,01000000,1,1.2
12,01000011,1,1.48
12,01001000,3,1.1
12,01001001,3,1.4800000000000002
12,01001010,1,1.2799999999999998
12,01001100,1,1.0499999999999998
12,01001101,2,1.43
12,01001111,1,1.55
12,01010000,1,1.35
12,01010001,1,1.45
12,01011100,3,1.2000000000000002
12,01100001,1,1.2
12,01100010,1,1.28
12,01100101,1,1.45
12,01100111,1,1.57
12,01101001,2,1.3800000000000001
12,01101010,1,1.1800000000000002
12,01101011,1,1.4999999999999998
12,01101100,1,1.25
12,01101101,2,1.5699999999999998
12,01111011,1,1.2200000000000002
12,01111100,1,1.34
12,10000001,1,1.45
12,10000101,1,1.4
12,10000111,1,1.58
12,10001000,2,1.6
12,10001001,3,1.98
12,10001010,1,1.78
12,10001100,1,1.55
12,10001101,5,1.93
12,10001111,2,2.0500000000000003
12,10010000,1,1.5
12,10011000,1,1.75
12,10011001,1,2.13
12,10011010,1,1.68
12,10011011,4,2.0000000000000004
12,10011111,1,1.7699999999999998
12,10101000,1,1.5
12,10101010,1,1.68
12,10101101,2,2.07
12,10101110,1,1.8699999999999999
12,10111011,1,1.72
12,10111101,1,2.04
12,11000000,6,1.9500000000000002
12,11000001,9,2.05
12,11000010,3,2.13
12,11000011,12,2.23
12,11000101,3,2.0
12,11000110,1,2.08
12,11000111,1,2.12
12,11001000,39,2.4000000000000004
12,11001001,54,2.7799999999999994
12,11001010,16,2.58
12,11001011,19,2.9
12,11001100,14,2.3499999999999996
12,11001101,25,2.6699999999999995
12,11001110,23,2.47
12,11001111,4,2.67
12,11010000,8,2.1
12,11010001,2,2.2
12,11010010,2,2.0300000000000002
12,11010011,2,2.07
12,11010100,1,2.05
12,11010101,1,2.09
12,11010110,1,1.92
12,11010111,1,1.84
12,11011000,9,2.55
12,11011001,9,2.8699999999999997
12,11011010,8,2.4199999999999995
12,11011011,9,2.619999999999999
12,11011100,6,2.44
12,11011101,10,2.6399999999999997
12,11011110,1,2.1899999999999995
12,11011111,2,2.2699999999999996
12,11100000,1,1.85
12,11100001,1,1.9500000000000002
12,11100011,2,2.07
12,11100100,1,2.1
12,11100101,4,2.1399999999999997
12,11100110,1,2.2199999999999998
12,11100111,1,2.1399999999999997
12,11101000,10,2.3
12,11101001,20,2.6199999999999997
12,11101010,4,2.4200000000000004
12,11101011,23,2.619999999999999
12,11101100,9,2.4899999999999998
12,11101101,14,2.6899999999999995
12,11101110,1,2.4899999999999993
12,11101111,13,2.5699999999999994
12,11110010,1,1.87
12,11110101,1,2.1100000000000003
12,11111000,7,2.39
12,11111001,7,2.59
12,11111010,1,2.1399999999999997
12,11111011,1,2.2199999999999998
12,11111100,4,2.46
12,11111101,1,2.54
12,11111110,3,2.09
12,11111111,1,2.05
